submissionCode,fiscalYear,districtNumber,districtType,districtName,languageName,homePrimaryLanguage,enrollments,countyCode,CountyName,eco_dev_rgn,strata,strataName
F,15-16,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,English,011,1187,01,Aitkin                                       ,03,4,Outstate - Enrollment between 1000 and 1999
F,15-16,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,"Swahili, Kiswahili ",070,15,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,15-16,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Czech,004,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,15-16,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Spanish,045,5435,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,15-16,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Romanian,039,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,15-16,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Russian,040,24,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,15-16,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Mandingo,302,9,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,15-16,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Konkani,114,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,15-16,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,"Lao, Laotian ",028,67,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,15-16,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Finnish,014,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,15-16,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Arabic,002,71,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,15-16,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Ukrainian,049,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,15-16,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Armenian,003,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,15-16,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Slovak,043,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,15-16,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Farsi ,013,5,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,15-16,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Latvian,029,8,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,15-16,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Hebrew,018,4,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,15-16,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,"Khmer, Cambodian ",005,22,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
