Submission Code,Fiscal Year,District Number,District Type,District Name,Language Name,Home Primary Language,Enrollments,County Code,County Name,Economic Development Region,Strata,Strata Name
F,21-22,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,Arabic,002,2,01,Aitkin                                       ,03,4,Outstate - Enrollment between 1000 and 1999
F,21-22,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,English,011,1038,01,Aitkin                                       ,03,4,Outstate - Enrollment between 1000 and 1999
F,21-22,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,Estonian,012,2,01,Aitkin                                       ,03,4,Outstate - Enrollment between 1000 and 1999
F,21-22,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,Bisaya,417,1,01,Aitkin                                       ,03,4,Outstate - Enrollment between 1000 and 1999
F,21-22,0001,03,Minneapolis Public School District,Afrikaans,001,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Arabic,002,38,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Czech,004,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,"Khmer, Cambodian ",005,6,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,"Chinese, Mandarin ",007,17,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Dakota,008,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Bengali,010,4,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,English,011,21317,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Estonian,012,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Farsi ,013,4,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Finnish,014,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,French,015,46,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,German,017,17,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Hindi ,019,11,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Hmong,020,507,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Italian,023,7,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Japanese,024,24,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Korean,026,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,"Lao, Laotian ",028,26,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Latvian,029,8,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Lithuanian,031,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,"Indonesian, Bahasa Indonesian",032,8,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Dutch,033,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Norwegian,034,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Ojibwa,035,4,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,"Cebuano, ",036,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Polish,037,11,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Portuguese,038,9,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Romanian,039,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Russian,040,24,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Bosnian,041,4,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,"Sign Language, ASL",042,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Spanish,045,4110,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Swedish,046,6,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Thai,047,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Turkish,048,8,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Ukrainian,049,8,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Vietnamese,051,49,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Not Specific,052,13,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Greek,054,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,"English, Creolized",057,6,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Sinhala,058,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Pashto ,060,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Amharic,063,91,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Bulgarian,064,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Nepali,068,6,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Somali,069,2660,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,"Swahili, Kiswahili ",070,11,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Tigrinya,071,12,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Albanian,072,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Tibetan,073,8,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,"Oromo, Afan Oromo, Oromiffa ",074,210,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Yoruba,075,4,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Nuer,076,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Kabyle ,078,5,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Quechua,080,14,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Haitian Creole,085,4,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Rwanda,093,5,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Wolof,094,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Bemba,098,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Maay,100,4,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Anuak,103,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Cantonese,108,5,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Lakota,110,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Gujarati,112,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Kannada ,113,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Malayalam,115,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Marathi,116,5,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Punjabi,117,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Tamil,118,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Telugu,119,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Urdu,122,4,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Malay,124,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,"Filipino, Pilipino",126,9,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Croatian,127,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,"Serbian, Herzegovnian, Montenegrin",128,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Harari,137,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Hausa,144,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Mende,150,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Ewe,158,24,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Shona,169,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Quichua,170,5,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Afar,175,4,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Ebira,225,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,"French, Creolized",232,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Krahn,281,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Mandingo,302,16,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Mayan,309,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Sarakole,355,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Temne,368,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Tem,421,6,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Mam,425,20,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Mina,431,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,21-22,0001,03,Minneapolis Public School District,Jakalteko,442,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul (MPLS/STP)
F,21-22,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,English,011,242,01,Aitkin                                       ,03,6,Outstate - Enrollment less than 500
F,21-22,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,Spanish,045,2,01,Aitkin                                       ,03,6,Outstate - Enrollment less than 500
F,21-22,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,English,011,450,01,Aitkin                                       ,03,6,Outstate - Enrollment less than 500
F,21-22,0006,03,South St. Paul Public School Dist,Arabic,002,7,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0006,03,South St. Paul Public School Dist,"Khmer, Cambodian ",005,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0006,03,South St. Paul Public School Dist,"Chinese, Mandarin ",007,2,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0006,03,South St. Paul Public School Dist,English,011,2564,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0006,03,South St. Paul Public School Dist,German,017,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0006,03,South St. Paul Public School Dist,Hmong,020,28,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0006,03,South St. Paul Public School Dist,"Lao, Laotian ",028,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0006,03,South St. Paul Public School Dist,"Sign Language, ASL",042,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0006,03,South St. Paul Public School Dist,Spanish,045,414,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0006,03,South St. Paul Public School Dist,Thai,047,2,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0006,03,South St. Paul Public School Dist,Vietnamese,051,9,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0006,03,South St. Paul Public School Dist,Amharic,063,6,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0006,03,South St. Paul Public School Dist,Somali,069,12,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0006,03,South St. Paul Public School Dist,"Swahili, Kiswahili ",070,4,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0006,03,South St. Paul Public School Dist,Tigrinya,071,3,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0006,03,South St. Paul Public School Dist,"Oromo, Afan Oromo, Oromiffa ",074,4,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0006,03,South St. Paul Public School Dist,Yoruba,075,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0006,03,South St. Paul Public School Dist,Tagalog,375,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0006,03,South St. Paul Public School Dist,"Karen, S'gaw",411,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Afrikaans,001,5,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Arabic,002,471,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Khmer, Cambodian ",005,34,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Chinese, Mandarin ",007,76,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Bengali,010,11,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,English,011,30453,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Estonian,012,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Farsi ,013,8,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Finnish,014,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,French,015,132,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,German,017,8,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Hindi ,019,21,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Hmong,020,1477,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Italian,023,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Japanese,024,6,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Korean,026,6,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Lao, Laotian ",028,144,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Lithuanian,031,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Indonesian, Bahasa Indonesian",032,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Ojibwa,035,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Cebuano, ",036,11,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Polish,037,12,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Portuguese,038,6,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,21-22,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Romanian,039,16,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
