2009-2010 Fall Enrollment by Home Primary Language by District,,,,,,,,,,,
Source: MARSS Fall FY10,,,,,,,,,,,
,,,,,,,,,,,
fiscalYear,districtNumber,districtType,districtName,languageName,homePrimaryLanguage,enrollments,countyCode,CountyName,eco_dev_rgn,strata,startaName
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,CEBUANO                       ,036,7,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,PERSIAN                       ,013,7,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,AMHARIC                       ,063,80,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,SLAVONIAN                     ,044,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,SOMALI                        ,069,1829,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,ENGLISH                       ,011,23553,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,YAO                           ,061,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,RUSSIAN                       ,040,31,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,CUTCHI                        ,010,20,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,ARABIC                        ,002,50,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,SPANISH                       ,045,5259,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,THAI                          ,047,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,LATVIAN                       ,029,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,HAWAIIAN                      ,056,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,SWEDISH                       ,046,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,TIGRINYA                      ,071,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,LUGANDA                       ,095,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,HAUSA                         ,066,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
09-10,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,ENGLISH                       ,011,289,01,Aitkin                                       ,03,6,Outstate - Enrollment less than 500
09-10,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,ENGLISH                       ,011,377,01,Aitkin                                       ,03,6,Outstate - Enrollment less than 500
09-10,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,ENGLISH                       ,011,2760,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
09-10,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,HINDI                         ,019,3,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
09-10,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,CAMBODIAN                     ,005,6,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
09-10,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,CEBUANO                       ,036,2,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
09-10,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,JAPANESE                      ,024,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
09-10,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,RUSSIAN                       ,040,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
09-10,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,HAWAIIAN                      ,056,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
09-10,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,SWAHILI                       ,070,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
09-10,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,KOREAN                        ,026,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
09-10,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,HMONG                         ,020,17,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
