submissionCode,fiscalYear,districtNumber,districtType,districtName,languageName,homePrimaryLanguage,enrollments,countyCode,CountyName,eco_dev_rgn,strata,strataName
F,16-17,0001,03,Minneapolis Public School District,Vietnamese,051,67,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,"Swahili, Kiswahili ",070,15,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Mongolian,025,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Not Specific,052,361,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Thai,047,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Nepali,068,28,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Farsi ,013,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Amharic,063,131,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Sogdian ,360,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Korean,026,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Lithuanian,031,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Mandingo,302,10,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Telugu,119,6,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Ukrainian,049,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,"Lao, Laotian ",028,55,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Tigrinya,071,7,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,English,011,264,01,Aitkin                                       ,03,6,Outstate - Enrollment less than 500
F,16-17,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,English,011,455,01,Aitkin                                       ,03,6,Outstate - Enrollment less than 500
F,16-17,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Dakota,008,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,"Lao, Laotian ",028,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Arabic,002,10,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,"Oromo, Afan Oromo, Oromiffa ",074,4,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Somali,069,31,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Spanish,045,456,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Hmong,020,23,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,"Khmer, Cambodian ",005,3,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,English,011,2963,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Ilocano,125,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Romanian,039,3,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Tigrinya,071,8,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,16-17,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Vietnamese,051,5,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
