Fiscal Year,District Number,District Type,District Name,Language Name,Home Primary Language,Enrollments,County Code,County Name,Economic Development Region,Strata,Strata Name
12-13,0001,03,MINNEAPOLIS PUBLIC SCHOOL DISTRICT,Avaric,184,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
12-13,0001,03,MINNEAPOLIS PUBLIC SCHOOL DISTRICT,Amharic,063,103,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
12-13,0001,03,MINNEAPOLIS PUBLIC SCHOOL DISTRICT,"Khmer, Cambodian ",005,38,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
12-13,0001,03,MINNEAPOLIS PUBLIC SCHOOL DISTRICT,Ga,160,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
12-13,0001,03,MINNEAPOLIS PUBLIC SCHOOL DISTRICT,Samoan,056,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
12-13,0001,03,MINNEAPOLIS PUBLIC SCHOOL DISTRICT,Turkish,048,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
12-13,0001,03,MINNEAPOLIS PUBLIC SCHOOL DISTRICT,Dutch,033,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
12-13,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,English,011,275,01,Aitkin                                       ,03,6,Outstate - Enrollment less than 500
12-13,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,English,011,395,01,Aitkin                                       ,03,6,Outstate - Enrollment less than 500
12-13,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DISTRICT,"Chinese, Mandarin ",007,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DISTRICT,Arabic,002,10,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DISTRICT,Somali,069,13,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DISTRICT,Tigrinya,071,6,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DISTRICT,Hmong,020,8,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DISTRICT,English,011,2823,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DISTRICT,"Lao, Laotian ",028,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DISTRICT,Bengali,010,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DISTRICT,Spanish,045,422,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DISTRICT,Hindi ,019,3,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DISTRICT,Amharic,063,2,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DISTRICT,Korean,026,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DISTRICT,Samoan,056,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DISTRICT,"Oromo, Afan Oromo, Oromiffa ",074,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DISTRICT,Cebuano,036,2,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DISTRICT,Romanian,039,3,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DISTRICT,French,015,2,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DISTRICT,"Khmer, Cambodian ",005,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Loma,290,5,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,"Swahili, Kiswahili ",070,173,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Yoruba,075,52,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Ga,160,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
