,,,,,,,,,,,
fiscalYear,districtNumber,districtType,districtName,languageName,homePrimaryLanguage,enrollments,countyCode,CountyName,eco_dev_rgn,strata,startaName
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,SWEDISH                       ,046,3,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,SOMALI                        ,069,1959,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,SWAHILI                       ,070,21,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,CEBUANO                       ,036,12,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,AMERICAN INDIAN               ,006,1,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,HEBREW                        ,018,1,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,KOREAN                        ,026,5,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,AFGHAN                        ,060,3,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,CAMBODIAN                     ,005,45,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,SERBO-CROATIAN                ,041,15,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,ESTONIAN                      ,012,4,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,HMONG                         ,020,1925,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,LINGALA                       ,067,1,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,FRENCH                        ,015,61,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,ENGLISH                       ,011,312,01,Aitkin                                       ,03 ,6,Outstate - Enrollment less than 500
07-08,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,ENGLISH                       ,011,366,01,Aitkin                                       ,03 ,6,Outstate - Enrollment less than 500
07-08,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,CHINESE                       ,007,3,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,HAWAIIAN                      ,056,1,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,RUSSIAN                       ,040,2,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,ARABIC                        ,002,13,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,CAMBODIAN                     ,005,1,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,CUTCHI                        ,010,4,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,HINDI                         ,019,1,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,HMONG                         ,020,12,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,ENGLISH                       ,011,2823,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,SPANISH                       ,045,389,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,SOMALI                        ,069,1,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,CEBUANO                       ,036,2,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,ROMANIAN                      ,039,2,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,IBO                           ,065,1,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,DUTCH                         ,033,2,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,JAPANESE                      ,024,8,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,SPANISH                       ,045,836,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,SOMALI                        ,069,78,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,TIBETAN                       ,073,7,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,AFRIKAANS                     ,001,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,PAMPA/SARAMO/ITONAMA/AYMARA/ARAUCANIAN/PALENQUE/ARAWAK ,079,5,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,SERBO-CROATIAN                ,041,103,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,NORWEGIAN                     ,034,4,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,THAI                          ,047,10,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,ROMANIAN                      ,039,39,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,MACEDONIAN                    ,089,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,YORUBA                        ,075,51,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,HINDI                         ,019,59,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,TURKISH                       ,048,3,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,HEBREW                        ,018,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,AMHARIC                       ,063,26,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,CAMBODIAN                     ,005,38,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,FRENCH                        ,015,51,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,CZECH                         ,004,3,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,IBO                           ,065,35,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,BULGARIAN                     ,064,5,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,SWAHILI                       ,070,118,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,ALBANIAN                      ,072,2,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,VIETNAMESE                    ,051,310,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,CHINESE                       ,007,65,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,GREEK                         ,054,2,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,GERMAN                        ,017,13,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,RWANDA/SOTHO/ZULU                        ,093,4,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,ADANGME/AKAN/DAGOMBA/DAGBANE/FANTE/FANTI/GA/TWI/EWE/GURMA                       ,083,36,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,HMONG                         ,020,1310,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,LAOTIAN                       ,028,156,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,KOREAN                        ,026,33,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,CEBUANO                       ,036,36,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,SWEDISH                       ,046,3,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,NUER                          ,076,48,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,CUTCHI                        ,010,37,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,SIGN LANGUAGE                 ,042,27,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,"ENGLISH, CREOLIZED            ",057,47,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,HAUSA                         ,066,2,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,POLISH                        ,037,19,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,RUSSIAN                       ,040,401,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,ARABIC                        ,002,200,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,ENGLISH                       ,011,35080,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,LINGALA                       ,067,2,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,FINNISH                       ,014,4,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,OROMO                         ,074,115,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,ARMENIAN                      ,003,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,UKRANIAN                      ,049,102,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,NOT SPECIFIC                  ,052,67,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,PORTUGUESE                    ,038,4,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,BURMESE                       ,055,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,INDONESIAN                    ,032,4,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,PERSIAN                       ,013,15,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,KAMBA/KIKUYA/LUO                         ,088,9,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,KRIO                          ,077,369,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,BERBER/ KABYLE              ,078,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,BALINESE/JAVANESE/SUNDANESE                      ,086,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,YAO                           ,061,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,LITHUANIAN                    ,031,4,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,SLOVAK                        ,043,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,AMHARIC                       ,063,12,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,CHINESE                       ,007,3,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,KOREAN                        ,026,3,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,SOMALI                        ,069,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,FRENCH                        ,015,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,ENGLISH                       ,011,6564,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,SWAHILI                       ,070,4,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,HMONG                         ,020,108,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,RUSSIAN                       ,040,4,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,AFRIKAANS                     ,001,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,INDONESIAN                    ,032,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,OROMO                         ,074,7,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,ROMANIAN                      ,039,2,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,UKRANIAN                      ,049,4,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,LAOTIAN                       ,028,7,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,JAPANESE                      ,024,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,SPANISH                       ,045,68,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,DUTCH                         ,033,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,TIGRINYA                      ,071,3,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,ARABIC                        ,002,5,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,CUTCHI                        ,010,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,VIETNAMESE                    ,051,25,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,PERSIAN                       ,013,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,HINDI                         ,019,3,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,GERMAN                        ,017,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,KRIO                          ,077,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,SOMALI                        ,069,158,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,ADANGME/AKAN/DAGOMBA/DAGBANE/FANTE/FANTI/GA/TWI/EWE/GURMA                       ,083,4,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,NUER                          ,076,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,TIBETAN                       ,073,18,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
07-08,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,HINDI                         ,019,11,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
