Submission Code,Fiscal Year,District Number,District Type,District Name,Language Name,Home Primary Language,Enrollments,County Code,County Name,Economic Development Region,Strata,Strata Name
F,20-21,0001,03,Minneapolis Public School District,Urdu,122,12,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Bengali,010,8,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Tamil,118,6,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Greek,054,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Mayan,309,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Ojibwa,035,5,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Bosnian,041,5,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Anuak,103,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Italian,023,8,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Ukrainian,049,5,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Finnish,014,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Russian,040,20,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Krahn,281,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,"Cebuano, ",036,4,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Ga,160,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Malayalam,115,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Hmong,020,647,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,"Swahili, Kiswahili ",070,20,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,"Serbian, Herzegovnian, Montenegrin",128,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Rwanda,093,5,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Mandingo,302,15,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Mongolian,025,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Not Specific,052,14,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,"English, Creolized",057,5,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Quechua,080,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Cantonese,108,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Lakota,110,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Tibetan,073,11,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Thai,047,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Swedish,046,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Kannada ,113,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Estonian,012,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Czech,004,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Japanese,024,21,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Albanian,072,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Mende,150,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Dakota,008,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Latvian,029,17,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,"Oromo, Afan Oromo, Oromiffa ",074,238,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Punjabi,117,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Ewe,158,24,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Tem,421,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Hebrew,018,5,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,English,011,232,01,Aitkin                                       ,03,6,Outstate - Enrollment less than 500
F,20-21,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,English,011,403,01,Aitkin                                       ,03,6,Outstate - Enrollment less than 500
F,20-21,0006,03,South St. Paul Public School Dist,Tigrinya,071,3,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0006,03,South St. Paul Public School Dist,Bengali,010,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0006,03,South St. Paul Public School Dist,Amharic,063,6,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0006,03,South St. Paul Public School Dist,Spanish,045,403,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0006,03,South St. Paul Public School Dist,"Sign Language, ASL",042,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0006,03,South St. Paul Public School Dist,German,017,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0006,03,South St. Paul Public School Dist,Tagalog,375,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0006,03,South St. Paul Public School Dist,Hmong,020,23,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,20-21,0006,03,South St. Paul Public School Dist,Vietnamese,051,6,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
