2019-20 Primary Home Language Totals,,,,,,,,,,,,
Submission Code,Fiscal Year,District Number,District Type,District Name,Language Name,Home Primary Language,Enrollments,County Code,County Name,Economic Development Region,Strata,Strata Name
F,19-20,0001,03,Minneapolis Public School District,Dakota,008,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Temne,368,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Igbo,065,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Bemba,098,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Hmong,020,683,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,"Swahili, Kiswahili ",070,21,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Korean,026,5,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Anuak,103,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,"Indonesian, Bahasa Indonesian",032,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Polish,037,12,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Finnish,014,4,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Latvian,029,15,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Ukrainian,049,4,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Afar,175,4,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Wolof,094,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,"Filipino, Pilipino",126,11,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Lakota,110,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Telugu,119,6,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Rwanda,093,5,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Cheyenne,006,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Malayalam,115,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Cantonese,108,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,"Sign Language, ASL",042,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,"Lao, Laotian ",028,40,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Quechua,080,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Tigrinya,071,14,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,German,017,12,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Mongolian,025,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Not Specific,052,24,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Turkish,048,6,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Nepali,068,12,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Urdu,122,9,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Sarakole,355,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,"English, Creolized",057,7,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Kabyle ,078,4,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Tibetan,073,16,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Norwegian,034,4,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Vietnamese,051,68,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Bengali,010,9,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Ebira,225,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Hindi ,019,12,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Haitian Creole,085,7,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Mende,150,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Catalan,205,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Dutch,033,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Japanese,024,19,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Yoruba,075,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Arabic,002,66,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Nyanja,330,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Bulgarian,064,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Portuguese,038,11,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Quichua,170,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Albanian,072,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0002,01,Hill City Public School District,English,011,263,01,Aitkin                                       ,03,6,Outstate - Enrollment less than 500
F,19-20,0004,01,McGregor Public School District,English,011,475,01,Aitkin                                       ,03,6,Outstate - Enrollment less than 500
F,19-20,0006,03,South St. Paul Public School District,Tigrinya,071,3,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0006,03,South St. Paul Public School District,Arabic,002,12,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0006,03,South St. Paul Public School District,German,017,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0006,03,South St. Paul Public School District,"Lao, Laotian ",028,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0006,03,South St. Paul Public School District,Spanish,045,447,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0006,03,South St. Paul Public School District,Vietnamese,051,7,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0006,03,South St. Paul Public School District,Norwegian,034,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0006,03,South St. Paul Public School District,"Oromo, Afan Oromo, Oromiffa ",074,3,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0006,03,South St. Paul Public School District,"Chinese, Mandarin ",007,3,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0006,03,South St. Paul Public School District,"Khmer, Cambodian ",005,2,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0006,03,South St. Paul Public School District,Italian,023,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0006,03,South St. Paul Public School District,Hmong,020,23,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0006,03,South St. Paul Public School District,"Swahili, Kiswahili ",070,2,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0006,03,South St. Paul Public School District,Somali,069,18,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0006,03,South St. Paul Public School District,Bengali,010,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0006,03,South St. Paul Public School District,Amharic,063,6,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0006,03,South St. Paul Public School District,English,011,2816,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Slovenian,044,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Garifuna,152,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Irish,255,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Tibetan,073,26,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Kannada ,113,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Dan,147,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Saurashtra,432,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Latvian,029,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Nuer,076,17,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Gio,242,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
F,19-20,0011,01,Anoka-Hennepin Public School District,Haitian Creole,085,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
