fiscalYear,districtNumber,districtType,districtName,languageName,homePrimaryLanguage,enrollments,countyCode,CountyName,eco_dev_rgn,strata,startaName
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,THAI                          ,047,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,DANISH                        ,009,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,YAO                           ,061,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,INDONESIAN                    ,032,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,JAPANESE                      ,024,6,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,UKRANIAN                      ,049,6,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,CHINESE                       ,007,42,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,LATVIAN                       ,029,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,ARABIC                        ,002,45,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,NORWEGIAN                     ,034,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,DUTCH                         ,033,7,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,ROMANIAN                      ,039,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,ENGLISH                       ,011,288,01,Aitkin                                       ,03,6,Outstate - Enrollment less than 500
08-09,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,ENGLISH                       ,011,392,01,Aitkin                                       ,03,6,Outstate - Enrollment less than 500
08-09,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,ENGLISH                       ,011,2804,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
08-09,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,ARABIC                        ,002,12,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
08-09,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,CHINESE                       ,007,6,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
08-09,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,SOMALI                        ,069,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
08-09,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,HMONG                         ,020,18,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
08-09,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,RUSSIAN                       ,040,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
08-09,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,SPANISH                       ,045,413,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
08-09,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,CUTCHI                        ,010,5,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
08-09,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,HINDI                         ,019,2,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
08-09,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,CEBUANO                       ,036,2,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
08-09,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,ROMANIAN                      ,039,2,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
08-09,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,FRENCH                        ,015,2,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
08-09,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,HAWAIIAN                      ,056,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
08-09,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,SWAHILI                       ,070,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
08-09,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,KOREAN                        ,026,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
08-09,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,CAMBODIAN                     ,005,3,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,CHINESE                       ,007,67,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,GERMAN                        ,017,18,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,CZECH                         ,004,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,MACEDONIAN                    ,089,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,SOMALI                        ,069,116,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,HEBREW                        ,018,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,YORUBA                        ,075,48,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,FRENCH                        ,015,49,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,SWAHILI                       ,070,128,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,TURKISH                       ,048,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,AMHARIC                       ,063,28,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,PAMPA/SARAMO/ITONAMA/AYMARA/ARAUCANIAN/PALENQUE/ARAWAK ,079,6,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ROMANIAN                      ,039,50,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,THAI                          ,047,12,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,HINDI                         ,019,54,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,CAMBODIAN                     ,005,31,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,VIETNAMESE                    ,051,332,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,TIGRINYA                      ,071,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,KRIO                          ,077,345,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,RUSSIAN                       ,040,378,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,SIGN LANGUAGE                 ,042,25,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,NOT SPECIFIC                  ,052,83,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,TIBETAN                       ,073,11,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,IBO                           ,065,49,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,KOREAN                        ,026,25,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ALBANIAN                      ,072,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,POLISH                        ,037,20,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,PORTUGUESE                    ,038,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,LAOTIAN                       ,028,159,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,JAPANESE                      ,024,9,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,NORWEGIAN                     ,034,6,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,AFRIKAANS                     ,001,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,SERBO-CROATIAN                ,041,95,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ARABIC                        ,002,189,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,DUTCH                         ,033,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,BURMESE                       ,055,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,BULGARIAN                     ,064,8,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,SWEDISH                       ,046,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,INDONESIAN                    ,032,4,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,LINGALA                       ,067,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,FINNISH                       ,014,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"ENGLISH, CREOLIZED            ",057,41,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,CUTCHI                        ,010,36,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,NUER                          ,076,34,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,SPANISH                       ,045,894,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,LITHUANIAN                    ,031,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,CEBUANO                       ,036,38,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ENGLISH                       ,011,34493,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,BERBER/ KABYLE              ,078,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,BALINESE/JAVANESE/SUNDANESE                      ,086,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,UKRANIAN                      ,049,101,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ANUAK                         ,103,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,PERSIAN                       ,013,15,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,RWANDA/SOTHO/ZULU                        ,093,5,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,HMONG                         ,020,1257,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,KAMBA/KIKUYA/LUO                         ,088,8,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ADANGME/AKAN/DAGOMBA/DAGBANE/FANTE/FANTI/GA/TWI/EWE/GURMA                       ,083,34,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,OROMO                         ,074,102,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,HINDI                         ,019,4,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,RUSSIAN                       ,040,10,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,CHINESE                       ,007,5,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,KOREAN                        ,026,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,SPANISH                       ,045,70,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,JAPANESE                      ,024,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,DUTCH                         ,033,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,ROMANIAN                      ,039,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,SOMALI                        ,069,6,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,CAMBODIAN                     ,005,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,FRENCH                        ,015,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,CUTCHI                        ,010,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,ENGLISH                       ,011,6442,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
08-09,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,UKRANIAN                      ,049,4,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
