submissionCode,fiscalYear,districtNumber,districtType,districtName,languageName,homePrimaryLanguage,enrollments,countyCode,CountyName,eco_dev_rgn,strata,strataName
F,14-15,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,English,011,1184,01,Aitkin                                       ,03,4,Outstate - Enrollment between 1000 and 1999
F,14-15,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Swedish,046,4,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,14-15,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,"Swahili, Kiswahili ",070,11,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,14-15,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Arabic,002,52,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,14-15,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Bosnian,041,10,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,14-15,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Armenian,003,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,14-15,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Iu Mien  ,061,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,14-15,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Slovak,043,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,14-15,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,English,011,23995,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,14-15,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Estonian,012,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,14-15,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,German,017,8,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,14-15,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Greek,054,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,14-15,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Tigrinya,071,8,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
