submissionCode,fiscalYear,districtNumber,districtType,districtName,languageName,homePrimaryLanguage,enrollments,countyCode,CountyName,eco_dev_rgn,strata,strataName
F,13-14,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,English,011,1231,01,Aitkin                                       ,03,4,Outstate - Enrollment between 1000 and 1999
F,13-14,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,"Cebuano, Visayan, Binisaya",036,12,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,13-14,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Polish,037,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,13-14,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,"Indonesian, Bahasa Indonesian",032,9,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,13-14,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Portuguese,038,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,13-14,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Spanish,045,5741,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,13-14,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Icelandic,022,4,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,13-14,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Oriya,334,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,13-14,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Ga,160,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,13-14,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Farsi ,013,5,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,13-14,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Twi,161,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,13-14,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,"Swahili, Kiswahili ",070,18,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,13-14,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Wolof,094,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,13-14,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Arabic,002,67,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,13-14,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Finnish,014,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,13-14,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,"Lao, Laotian ",028,86,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
