submissionCode,fiscalYear,districtNumber,districtType,districtName,languageName,homePrimaryLanguage,enrollments,countyCode,CountyName,eco_dev_rgn,strata,strataName
F,18-19,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,Spanish,045,1,01,Aitkin                                       ,03,4,Outstate - Enrollment between 1000 and 1999
F,18-19,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,Arabic,002,2,01,Aitkin                                       ,03,4,Outstate - Enrollment between 1000 and 1999
F,18-19,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,German,017,3,01,Aitkin                                       ,03,4,Outstate - Enrollment between 1000 and 1999
F,18-19,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,English,011,1163,01,Aitkin                                       ,03,4,Outstate - Enrollment between 1000 and 1999
F,18-19,0001,03,Minneapolis Public School District,Yoruba,075,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,18-19,0001,03,Minneapolis Public School District,Haitian Creole,085,6,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,18-19,0001,03,Minneapolis Public School District,Amharic,063,119,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,18-19,0001,03,Minneapolis Public School District,Dutch,033,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,18-19,0001,03,Minneapolis Public School District,Dakota,008,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,18-19,0001,03,Minneapolis Public School District,Nuer,076,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,18-19,0001,03,Minneapolis Public School District,Slovene,044,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,18-19,0001,03,Minneapolis Public School District,Czech,004,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,18-19,0001,03,Minneapolis Public School District,Telugu,119,14,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,18-19,0001,03,Minneapolis Public School District,Wolof,094,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,18-19,0001,03,Minneapolis Public School District,Bulgarian,064,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
