fiscalYear,districtNumber,districtType,districtName,languageName,homePrimaryLanguage,enrollments,countyCode,CountyName,eco_dev_rgn,strata,strataName
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Cheyenne,006,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,English,011,23159,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Hmong,020,1497,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Not Specific,052,434,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Bosnian,041,9,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Fulah,066,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,French,015,86,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Amharic,063,87,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Vietnamese,051,93,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Bengali,010,20,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Czech,004,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Farsi ,013,6,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
11-12,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,English,011,279,01,Aitkin                                       ,03,6,Outstate - Enrollment less than 500
11-12,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,English,011,381,01,Aitkin                                       ,03,6,Outstate - Enrollment less than 500
11-12,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Somali,069,9,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
11-12,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,"Chinese, Mandarin ",007,2,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
11-12,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Arabic,002,9,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
11-12,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Bengali,010,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
11-12,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Hmong,020,8,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
11-12,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Tigrinya,071,6,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
11-12,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Amharic,063,2,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
11-12,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Hindi ,019,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
11-12,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,"Khmer, Cambodian ",005,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
11-12,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,"Oromo, Afan Oromo, Oromiffa ",074,3,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
11-12,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,English,011,2799,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
11-12,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Korean,026,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
11-12,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Samoan,056,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
11-12,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Spanish,045,401,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
11-12,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,"Lao, Laotian ",028,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
11-12,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Romanian,039,3,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
11-12,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Cebuano,036,2,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Danish,009,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Indonesian, Bahasa Indonesian",032,8,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Dinka,220,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Mandingo,302,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Swedish,046,4,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Bassa,146,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Krahn,281,3,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Not Specific,052,116,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Vietnamese,051,406,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Anuak,103,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Swahili, Kiswahili ",070,159,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Tibetan,073,11,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Adangme,083,41,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Balinese,086,4,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,French,015,62,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Albanian,072,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Nuer,076,38,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,English,011,32812,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Urdu,122,8,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Nyanja,330,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Polish,037,14,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Kpelle, Pelle ",148,7,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Cebuano,036,45,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Kikuyu,270,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Kabyle ,078,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Ewe,158,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Punjabi,117,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Finnish,014,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Rwanda,093,7,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Somali,069,134,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Thai,047,18,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Oromo, Afan Oromo, Oromiffa ",074,135,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Hmong,020,1030,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Vai,386,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Urhobo,384,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Sapo,354,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Lingala,067,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Telugu,119,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Gbandi ,238,2,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Grebo,077,275,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Kamba,088,8,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Spanish,045,1001,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Kru,282,6,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
11-12,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Japanese,024,7,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
