fiscalYear,districtNumber,districtType,districtName,languageName,homePrimaryLanguage,enrollments,countyCode,CountyName,eco_dev_rgn,strata,strataName
11-12,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Slovene,044,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Yoruba,075,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Fulah,066,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Hmong,020,69,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Hindi ,019,16,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,"Filipino, Pilipino",126,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Croatian,127,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,"Lao, Laotian ",028,5,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Portuguese,038,5,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Tibetan,073,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Georgian,082,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Finnish,014,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Assamese,182,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Haitian Creole,085,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Gujarati,112,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Igbo,065,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,French,015,13,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Ukrainian,049,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Danish,009,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Grebo,077,6,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Telugu,119,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Farsi ,013,4,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Tamil,118,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Nepali,068,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Akan ,156,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Vietnamese,051,190,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Mandingo,302,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Greek,054,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Anuak,103,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Adangme,083,14,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,French,015,17,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Fulah,066,6,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Tigrinya,071,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,"English, Creolized",057,28,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,"Swahili, Kiswahili ",070,42,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Burmese,055,5,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Portuguese,038,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Samoan,056,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Swedish,046,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Urdu,122,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Thai,047,7,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Mano. Mah ,297,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Dakota,008,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Ndebele,099,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Japanese,024,6,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Bengali,010,19,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Italian,023,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Afrikaans,001,5,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Turkish,048,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Arawak,079,10,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Somali,069,312,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Bosnian,041,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Kom,276,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Yoruba,075,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Twi,161,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Ukrainian,049,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Korean,026,8,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,"Indonesian, Bahasa Indonesian",032,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Finnish,014,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,English,011,8122,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,"Lao, Laotian ",028,55,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Cebuano,036,22,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,"Kissi, Gissi ",273,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Russian,040,64,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Kazakh,087,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,"Ganda, Luganda ",095,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Cheyenne,006,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Iu Mien  ,061,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Igbo,065,12,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,German,017,5,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Dutch,033,4,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Norwegian,034,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Quechua,080,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Nuer,076,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,"Chinese, Mandarin ",007,105,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,"Oromo, Afan Oromo, Oromiffa ",074,10,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Hmong,020,25,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,"Khmer, Cambodian ",005,77,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Arabic,002,43,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Tibetan,073,12,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,"Filipino, Pilipino",126,4,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Kamba,088,4,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Lingala,067,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Spanish,045,1105,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Hindi ,019,18,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Amharic,063,23,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Estonian,012,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Ukrainian,049,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Urdu,122,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,"Chinese, Mandarin ",007,94,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Cantonese,108,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,German,017,4,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Korean,026,36,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Turkish,048,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,"Indonesian, Bahasa Indonesian",032,7,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Polish,037,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Spanish,045,211,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Amharic,063,9,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Bengali,010,107,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Adangme,083,4,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Bulgarian,064,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Finnish,014,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Nepali,068,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,"English, Creolized",057,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Romanian,039,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Yoruba,075,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Portuguese,038,12,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Oriya,334,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Fulah,066,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Hindi ,019,54,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Punjabi,117,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Icelandic,022,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Telugu,119,12,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Tamil,118,10,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Albanian,072,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Gujarati,112,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Fanti ,159,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Marathi,116,5,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,"Khmer, Cambodian ",005,30,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Russian,040,62,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,French,015,6,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Farsi ,013,12,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,English,011,7824,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Hebrew,018,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,"Sign Language, ASL",042,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,"Oromo, Afan Oromo, Oromiffa ",074,14,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Bosnian,041,9,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Hmong,020,9,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Dutch,033,4,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Vietnamese,051,81,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Arabic,002,47,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Konkani,114,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Cebuano,036,9,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Somali,069,542,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Afrikaans,001,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Japanese,024,6,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Thai,047,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,"Lao, Laotian ",028,8,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Kannada ,113,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,"Swahili, Kiswahili ",070,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Assamese,182,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Albanian,072,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Tamil,118,5,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Amharic,063,5,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Vietnamese,051,8,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Burmese,055,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Assamese,182,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Spanish,045,106,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Malayalam,115,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Nuer,076,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Marathi,116,4,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Swedish,046,10,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Punjabi,117,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,"Oromo, Afan Oromo, Oromiffa ",074,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Nepali,068,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Arabic,002,31,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Czech,004,4,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Kannada ,113,5,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Tibetan,073,25,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,English,011,7561,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Haitian Creole,085,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Thai,047,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,"Chinese, Mandarin ",007,71,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Bengali,010,52,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Bulgarian,064,4,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Uzbek,096,6,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Hmong,020,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Bosnian,041,5,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Hindustani ,121,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Farsi ,013,14,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Ukrainian,049,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Romanian,039,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,French,015,20,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
11-12,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Somali,069,139,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
